[Pass], X=101 , Y=101, X*Y= result=0001
[Pass], X=101 , Y=110, X*Y= result=0010
[Pass], X=101 , Y=111, X*Y= result=0011
[Pass], X=101 , Y=000, X*Y= result=10000
[Pass], X=101 , Y=001, X*Y= result=10001
[Pass], X=101 , Y=010, X*Y= result=10010
[Pass], X=101 , Y=011, X*Y= result=10011
[Pass], X=110 , Y=101, X*Y= result=0010
[Pass], X=110 , Y=110, X*Y= result=0100
[Pass], X=110 , Y=111, X*Y= result=0110
[Pass], X=110 , Y=000, X*Y= result=10000
[Pass], X=110 , Y=001, X*Y= result=10010
[Pass], X=110 , Y=010, X*Y= result=10100
[Pass], X=110 , Y=011, X*Y= result=10110
[Pass], X=111 , Y=101, X*Y= result=0011
[Pass], X=111 , Y=110, X*Y= result=0110
[Pass], X=111 , Y=111, X*Y= result=1001
[Pass], X=111 , Y=000, X*Y= result=10000
[Pass], X=111 , Y=001, X*Y= result=10011
[Pass], X=111 , Y=010, X*Y= result=10110
[Pass], X=111 , Y=011, X*Y= result=11001
[Pass], X=000 , Y=101, X*Y= result=10000
[Pass], X=000 , Y=110, X*Y= result=10000
[Pass], X=000 , Y=111, X*Y= result=10000
[Pass], X=000 , Y=000, X*Y= result=0000
[Pass], X=000 , Y=001, X*Y= result=0000
[Pass], X=000 , Y=010, X*Y= result=0000
[Pass], X=000 , Y=011, X*Y= result=0000
[Pass], X=001 , Y=101, X*Y= result=10001
[Pass], X=001 , Y=110, X*Y= result=10010
[Pass], X=001 , Y=111, X*Y= result=10011
[Pass], X=001 , Y=000, X*Y= result=0000
[Pass], X=001 , Y=001, X*Y= result=0001
[Pass], X=001 , Y=010, X*Y= result=0010
[Pass], X=001 , Y=011, X*Y= result=0011
[Pass], X=010 , Y=101, X*Y= result=10010
[Pass], X=010 , Y=110, X*Y= result=10100
[Pass], X=010 , Y=111, X*Y= result=10110
[Pass], X=010 , Y=000, X*Y= result=0000
[Pass], X=010 , Y=001, X*Y= result=0010
[Pass], X=010 , Y=010, X*Y= result=0100
[Pass], X=010 , Y=011, X*Y= result=0110
[Pass], X=011 , Y=101, X*Y= result=10011
[Pass], X=011 , Y=110, X*Y= result=10110
[Pass], X=011 , Y=111, X*Y= result=11001
[Pass], X=011 , Y=000, X*Y= result=0000
[Pass], X=011 , Y=001, X*Y= result=0011
[Pass], X=011 , Y=010, X*Y= result=0110
[Pass], X=011 , Y=011, X*Y= result=1001
