[Pass], X=101 , Y=101, X % Y= result=100
[Pass], X=101 , Y=110, X % Y= result=101
[Pass], X=101 , Y=111, X % Y= result=101
[Pass], X=101 , Y=000, X % Y= result=100
[Pass], X=101 , Y=001, X % Y= result=100
[Pass], X=101 , Y=010, X % Y= result=101
[Pass], X=101 , Y=011, X % Y= result=101
[Pass], X=110 , Y=101, X % Y= result=100
[Pass], X=110 , Y=110, X % Y= result=100
[Pass], X=110 , Y=111, X % Y= result=110
[Pass], X=110 , Y=000, X % Y= result=100
[Pass], X=110 , Y=001, X % Y= result=100
[Pass], X=110 , Y=010, X % Y= result=100
[Pass], X=110 , Y=011, X % Y= result=110
[Pass], X=111 , Y=101, X % Y= result=100
[Pass], X=111 , Y=110, X % Y= result=101
[Pass], X=111 , Y=111, X % Y= result=100
[Pass], X=111 , Y=000, X % Y= result=100
[Pass], X=111 , Y=001, X % Y= result=100
[Pass], X=111 , Y=010, X % Y= result=101
[Pass], X=111 , Y=011, X % Y= result=100
[Pass], X=000 , Y=101, X % Y= result=000
[Pass], X=000 , Y=110, X % Y= result=000
[Pass], X=000 , Y=111, X % Y= result=000
[Pass], X=000 , Y=000, X % Y= result=000
[Pass], X=000 , Y=001, X % Y= result=000
[Pass], X=000 , Y=010, X % Y= result=000
[Pass], X=000 , Y=011, X % Y= result=000
[Pass], X=001 , Y=101, X % Y= result=000
[Pass], X=001 , Y=110, X % Y= result=001
[Pass], X=001 , Y=111, X % Y= result=001
[Pass], X=001 , Y=000, X % Y= result=000
[Pass], X=001 , Y=001, X % Y= result=000
[Pass], X=001 , Y=010, X % Y= result=001
[Pass], X=001 , Y=011, X % Y= result=001
[Pass], X=010 , Y=101, X % Y= result=000
[Pass], X=010 , Y=110, X % Y= result=000
[Pass], X=010 , Y=111, X % Y= result=010
[Pass], X=010 , Y=000, X % Y= result=000
[Pass], X=010 , Y=001, X % Y= result=000
[Pass], X=010 , Y=010, X % Y= result=000
[Pass], X=010 , Y=011, X % Y= result=010
[Pass], X=011 , Y=101, X % Y= result=000
[Pass], X=011 , Y=110, X % Y= result=001
[Pass], X=011 , Y=111, X % Y= result=000
[Pass], X=011 , Y=000, X % Y= result=000
[Pass], X=011 , Y=001, X % Y= result=000
[Pass], X=011 , Y=010, X % Y= result=001
[Pass], X=011 , Y=011, X % Y= result=000
